鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
北區,房地(土地+建物)+車位,臺南市北區文成三路３０５號三樓之２,30.43,都市：其他:住宅區,,,1090321,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1100623,170.44,4,2,2,有,有,12590000,73868,坡道平面,16.61,0,預售屋、或土地及建物分件登記案件；,RPRNMLTJRHGGFAD28DA,86.93,13.04,0.0,有,
北區,房地(土地+建物)+車位,臺南市北區文成三路３１３號,18.78,都市：其他:住宅區,,,1080721,土地1建物1車位1,一層，見其他登記事項,十四層,住宅大樓(11層含以上有電梯),店舖、集合住宅,鋼筋混凝土構造,1100623,111.53,0,0,0,無,有,14380000,128934,坡道平面,16.61,0,預售屋、或土地及建物分件登記案件；,RPSNMLTJRHGGFAD38DA,61.71,0.0,0.0,有,
北區,房地(土地+建物)+車位,臺南市北區文成三路３０３號三樓之３,24.77,都市：其他:住宅區,,,1080908,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1100623,141.67000000000002,3,2,2,有,有,9900000,69881,坡道平面,16.61,0,預售屋、或土地及建物分件登記案件；,RPVNMLTJRHGGFAD68DA,69.45,11.86,0.0,有,
中西區,房地(土地+建物),臺南市中西區中成路１８號十四樓之１８,5.32,都市：其他:商業區,,,1100810,土地1建物1車位0,十四層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860127,63.3,1,1,1,有,有,3820000,60348,,0.0,0,,RPXOMLTJRHGGFAD98DA,36.67,6.49,0.0,有,002
安平區,房地(土地+建物),臺南市安平區育平路６６號四樓之１,9.26,都市：其他:住宅區,,,1100823,土地1建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1021125,63.989999999999995,2,2,1,有,有,4180000,65323,,0.0,0,,RPXPMLTJRHGGFAD09DA,37.97,4.44,0.0,有,003
安平區,房地(土地+建物)+車位,臺南市安平區文平路２９２號十一樓,34.67,都市：其他:住宅區,,,1091009,土地1建物1車位2,十一層,二十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1100413,291.44000000000005,4,2,2,有,有,20390000,76801,坡道平面,58.5,2500000,預售屋、或土地及建物分件登記案件；,RPVOMLTJRHGGFAD78DA,146.42,16.19,0.0,有,
安南區,土地,國安段279地號,117.1,都市：其他:細部計畫道路用地,,,1100830,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2918160,24920,,0.0,0,包含公共設施保留地用地；,RPPOMLQJRHGGFBD97DA,0.0,0.0,0.0,無,004
安南區,土地,國安段1地號,158.08,都市：其他:細部計畫道路用地,,,1100830,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3547374,22440,,0.0,0,包含公共設施保留地用地；,RPQOMLQJRHGGFBD08DA,0.0,0.0,0.0,無,005
安南區,土地,國安段464地號,31.5,都市：其他:細部計畫道路用地,,,1100830,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,599784,19041,,0.0,0,包含公共設施保留地用地；,RPROMLQJRHGGFBD18DA,0.0,0.0,0.0,無,006
安南區,房地(土地+建物),臺南市安南區環館路８４９巷３弄１號,171.98,都市：其他:住宅區,,,1100515,土地5建物1車位0,全,四層,透天厝,集合住宅,鋼筋混凝土造,0971128,274.02,5,2,5,有,有,16200000,59120,,0.0,0,,RPROMLTJRHGGFBD48DA,262.41,8.42,0.0,無,
安南區,房地(土地+建物)+車位,臺南市安南區永續三街２６２號十三樓之５,15.47,都市：其他:住宅區,,,1100816,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100114,116.21000000000001,2,2,1,有,有,6400000,55073,坡道平面,25.6,0,,RPVOMLRJRHGGFBD68DA,54.27,8.16,0.0,有,007
安南區,土地,公塭段527-1地號,463.5,都市：其他:主要計畫道路用地,,,1100827,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7085982,15288,,0.0,0,包含公共設施保留地用地；,RPPNMLSJRHGGFBD08DA,0.0,0.0,0.0,無,008
安南區,房地(土地+建物),臺南市安南區城西街二段１０８巷３５號,77.56,都市：其他:低密度住宅區,,,1090721,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1100512,155.33,5,2,4,有,無,8200000,52791,,0.0,0,,RPRNMLSJRHGGFBD28DA,152.13,3.2,0.0,無,
安南區,房地(土地+建物),臺南市安南區城西街二段１０８巷１９號,80.75,都市：其他:低密度住宅區,,,1090909,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1100512,154.7,5,2,4,有,無,8300000,53652,,0.0,0,,RPTNMLSJRHGGFBD48DA,151.5,3.2,0.0,無,
